"artist","album","year","song","lyrics" 
"Beyonce","Dangerously In Love",2003,"Crazy In Love","Yes! So crazy right now! Most incredibly, it's your girl, B It's your boy, Young You ready? Oh oh, oh oh, oh oh, oh no no (Oww!) Oh oh, oh oh, oh oh, oh no no Oh oh, oh oh, oh oh, oh no no Oh oh, oh oh, oh oh, oh no no Geah! History in the making Part two! It's so crazy right now I look and stare so deep in your eyes (I) I touch on you more and more every time When you leave, I'm begging you not to go Call your name, two, three times in a row Such a funny thing for me to try to explain How I'm feeling, and my pride is the one to blame (Yeah) 'Cause I know I don't understand Just how your love can do what no one else can Got me looking so crazy right now Your love's got me looking so crazy right now (Your love) Got me looking so crazy right now Your touch got me looking so crazy right now (Your touch) Got me hoping you'll page me right now (Hey) Your kiss got me hoping you'll save me right now Looking so crazy, your love's got me looking Got me looking so crazy in love Oh oh, oh oh, oh oh, oh no no Oh oh, oh oh, oh oh, oh no no Oh oh, oh oh, oh oh, oh no no Oh oh, oh oh, oh oh, oh no no When I talk to my friends so quietly Tennis shoes, don't even need to buy a new dress If you ain't there, ain't nobody else to impress It's the way that you know what I thought I knew It's the beat that my heart skips when I'm with you But I still don't understand Just how your love can do what no one else can Got me looking so crazy right now Your love's got me looking so crazy right now Got me looking so crazy right now (Your love) Your touch got me looking so crazy right now (Oh, your touch) Got me hoping you'll page me right now Your kiss got me hoping you'll save me right now (Hey) Looking so crazy, your love's got me looking Got me looking so crazy in love (Geah!) I'm looking so crazy, your love's got me looking (Woo!) Got me looking so crazy in love I'm warmed up now, let's go Young Hov, y'all know when the flow is loco Young B and the R-O-C, uh-oh (Oh) O.G. Big Homie, the one and only (Oh, no) Stick bony, but the pockets is fat like Tony (Oh, no) Soprano, the ROC handle like Van Exel I shake phonies man you can't get next to The genuine article, I do not sing though I sling though, if anything, I bling yo A star like Ringo, war like a Green Beret You crazy? Bring ya whole set JAY-Z in the Range, crazy and deranged They can't figure him out, they like, Hey, is he insane? (Oh, no) Yes sir, I'm cut from a different cloth My texture is the best fur: chinchilla I've been iller than chain smokers How you think I got the name Hova? I been realer, the game's over Fall back, Young Ever since I made the change over to platinum The game's been a wrap, one Got me looking, so crazy, my baby I'm not myself lately, I'm foolish, I don't do this I've been playing myself, baby, I don't care 'Cause your love's got the best of me And baby you're making a fool of me You got me sprung and I don't care who sees 'Cause baby you got me, you got me You got me, you got me so crazy, baby Hey! Got me looking so crazy right now Your love's got me looking so crazy right now (Your love) Got me looking so crazy right now Your touch got me looking so crazy right now (Your touch) Got me hoping you'll page me right now Your kiss got me hoping you'll save me right now Looking so crazy, your love's got me looking Got me looking so crazy in love Got me looking so crazy right now Your love's got me looking so crazy right now (Your love) Got me looking so crazy right now Your touch got me looking so crazy right now (Your touch) Got me hoping you'll page me right now Your kiss got me hoping you'll save me right now Looking so crazy, your love's got me looking Got me looking so crazy in love"
"Beyonce","Dangerously In Love",2003,"Naughty Girl","I love to love you, baby I love to love you, baby I'm feeling sexy I wanna hear you say my name, boy If you can reach me You can feel my burning flame I'm feelin' kind of n-a-s-t-y I might just take you home with me Baby, the minute I feel your energy Your vibe has just taken over me Start feeling so crazy, babe Lately, I feel the funk coming over me I don't know what's gotten into me The rhythm's got me feeling so crazy, babe Tonight, I'll be your naughty girl I'm calling all my girls We're gonna turn this party out I know you want my body Tonight, I'll be your naughty girl I'm calling all my girls I see you look me up and down And I came to party You're so sexy Tonight, I am all yours, boy The way your body moves across the floor I'm feelin' kind of n-a-s-t-y I might just take you home with me Baby, the minute I feel your energy Your vibe has just taken over me Start feeling so crazy, babe Lately, I feel the funk coming over me I don't know what's gotten into me The rhythm's got me feeling so crazy, babe Tonight, I'll be your naughty girl I'm calling all my girls We're gonna turn this party out I know you want my body Tonight, I'll be your naughty girl I'm calling all my girls I see you look me up and down And I came to party I love to love you, baby (I love to love you, baby) I love to love you, baby (I love to love you, baby) I love to love you, baby (I love to love you, baby) I love to love you, baby (I love to love you, baby) Tonight, I'll be your naughty girl I'm calling all my girls We're gonna turn this party out I know you want my body Tonight, I'll be your naughty girl I'm calling all my girls I see you look me up and down And I came to party Tonight, I'll be your naughty girl I'm calling all my girls We're gonna turn this party out I know you want my body Tonight, I'll be your naughty girl I'm calling all my girls I see you look me up and down And I came to party"
"Beyonce","Dangerously In Love",2003,"Baby Boy","Certified quality A dat di gyaldem need and dem cry fi everyday without apology Buck dem di right way, dat a my policy Sean da Paul 'longside Beyoncé Now hear what di man seh Dis a dutty yeah, dutty yo Dutty yeah, dutty yo Beyoncé, sing it now, ya Baby boy, you stay on my mind Fulfill my fantasies (Come on, girl, tell me how you feel) I think about you all the time I see you in my dreams (See you in my dreams; yuh done know di love is real) Baby boy, not a day goes by Without my fantasies (Come on, girl, tell me what's the deal) I think about you all the time I see you in my dreams (See you in my dreams; yuh done know di love is real) Ah, oh, my baby's fly, baby, oh (Yeah, yeah) Yes, no, hurt me so good, baby, oh (This hot) I'm so wrapped up in your love, let me go (Uh, yo) Let me breathe, stay out my fantasies (Yo, yo, yo, yo, alright) Well woman a ready fi gimme di ting, deh ready fi really get it live Tellin' mi all about di tings weh you ah fantasize I know yuh dig di way mi step, di way mi mek mi stride Follow yuh feelings, baby girl, because they cannot be denied Come get mi inna di night and mek wi get it damplified I nuh quick fi run di ship, mi nah go slip, mi nah go slide In odda words yuh love I got to get well certified Fi give yuh di tuffest longest type of ride, girl Baby boy, you stay on my mind Fulfill my fantasies (Fulfill my fantasies, come on, girl, tell me how you feel) I think about you all the time (Oh) I see you in my dreams (See you in my dreams; yuh done know di love is real) Baby boy, not a day goes by Without my fantasies (By, by, by, by, come on, girl, tell me what's the deal) I think about you all the time I see you in my dreams (See you in my dreams; oh, yuh done know di love is real) Picture us dancin' real close In a dark, dark corner of a basement party (Oh, na, na, na) Every time I close my eyes It's like everyone left, but you and me (Oh, na, na, na) In our own little world, the music is the sun The dancefloor becomes the sea (A wi done, girl) Feels like true paradise to me, yeah (Introverted, oh, na, na, na) Baby boy, you stay on my mind Fulfill my fantasies (Come on, girl, tell me how you feel) I think about you all the time I see you in my dreams (See you in my dreams; yuh done know di love is real) Baby boy, not a day goes by Without my fantasies (By, by, by, by, come on, girl, tell me what's the deal) I think about you all the time (Oh) I see you in my dreams (See you in my dreams; yuh done know di love is real) Baby boy, you stay on my mind (Yo, yo, B) Baby boy, you are so damn fine (Yeah, yeah, girl) Baby boy, won't you be mine? (Yo, yo, B) Baby boy, let's conceive an angel Baby boy, you stay on my mind (Yo, yo, B, oh) Baby boy, you are so damn fine (Yeah, yeah, girl, oh) Baby boy, won't you be mine? (Yo, yo, B, oh) Baby boy, let's conceive an angel Di world is a drop top, girl Mi and yuh together is a wrap, dat, girl Drive 'round di town inna yuh drop top, girl, yuh nuh stop shop, girl Likkle more di Dutty waan rock dat world It's a drop top, girl Mi and yuh together is a wrap, dat, girl Drive 'round di town inna yuh drop top, girl, yuh nuh stop shop, girl Likkle more di Dutty waan rock dat world Fulfill my fantasies (Come on, girl, tell me how you feel, oh, na, na, na) I think about you all the time I see you in my dreams (See you in my dreams; yuh done know di love is real) Baby boy, not a day goes by Without my fantasies (Oh, na, na, na, come on, girl, tell me what's the deal) I think about you all the time I see you in my dreams (See you in my dreams; yuh done know di love is real) B stepping in hotter this year (Hotter, hotter under ya) B stepping in hotter this year (Hotter, hotter under ya) I know you gon' like it I know you gon' like it I'm stepping up hotter this year (Hotter, hotter under ya) I'm stepping up hotter this year (Hotter, hotter under ya) So don't you fight it So don't you fight it"
"Beyonce","Dangerously In Love",2003,"Hip Hop Star","Pure players Pure players Slowly as Sir Luscious step up like a Q-Dawg A-town's up, deuces down it's the new call And you can dial 1-888-cut-something I'm your kinky operator when you wanna fuck something Ain't no dial tones just milestones, of pleasure to reach To each his own, I'm a stone-cold Aquarian freak Humanitarian, barbarian, but under the sheets It's the player from the point And your girl from the D Are you infatuated with me? I could end your curiosity If you don't think I'm too rude Here's your chance to make your move I sit and wait for nobody People say that my, my style is so crazy I think you like it, baby Do you want to get nasty? I dare you to undress me Baby, let me know if you wanna roll With a hip hop star Bamboos on, pants down low I'm a rock star Baby, let me know if you wanna ride with a Hip hop star I'm a rock star Do I blow you away? Do I stimulate your mind? Would you taste my love if I give you time? I have none to waste with you I guess you can say My style is so crazy I think you like it, baby Do you want to get nasty? I dare you to undress me Baby, let me know if you wanna roll With a hip hop star Bamboos on, pants down low I'm a rock star Baby, let me know if you wanna ride with a Hip hop star I'm a rock star Undress me undress me You can come Come baby, undress me Take off that tank top and pull off them drawers The girls all pause, got them drippin' down their sugar walls Aw naw! Getting to the nappy root Knocking boots in stilettos, damn I keep it ghetto! A cool type of fellow, mellow got the gold medal Never settle for less my rose petal Tooey, tooey, tooey, tooey! spit game! Venom to get it up in 'em, let me p pop that thang First check her brain to see if she's sane Deranged or strange or crazy as hell You never can tell these days Everybody got a little Rick James in their veins man! The way I feel Oh girl I know it's 'bout to be Me all over you And damn girl you all over me Baby, let me know if you wanna roll With a hip hop star Bamboos on, pants down low I'm a rock star Baby, let me know if you wanna ride with a Hip hop star I'm a rock star"
"Beyonce","Dangerously In Love",2003,"Be With You","Oh, baby Oh, baby I love the way you make me feel It slows down time Come in my bedroom and turn off the lights You whisper softly in my ear Makes me unwind The way you touch me lets me know you're mine I'd rather be with you 'Cause I love the way you scream my name And there's no other man that gives me what I want And makes me feel this way I'd rather be with you because you hustle hard to take care of me I'd rather be with you Boy, I'd rather be with you (Boy, I'd rather be with you) I love the way you look at me Stare into my eyes What do they say to you? Boy, don't be shy Tonight's the night your fantasies will all come true I am your woman I belong to you, whoa There is nothing I won't do for you I know my soul connected me to you I feel so safe when I'm alone with you I'm holding back nothing Saving it all for you Baby, I love making love to you It's like a high I can't come down from you I'd rather be with you 'Cause I love the way you scream my name (Scream my name) And there's no other man that gives me what I want And makes me feel this way (Feel this way) I'd rather be with you because you hustle hard to take care of me I'd rather be with you Boy, I'd rather be with you (Boy, I'd rather be with you) I'd rather be with you, oh, yeah Boy, I'd rather be with you I'd rather be with you, oh, yeah Boy, I'd rather be with you I'd rather be with you 'Cause I love the way you scream my name And there's no other man that gives me what I want And makes me feel this way (Make me feel good) I'd rather be with you because you hustle hard to take care of me I'd rather be with you Boy, I'd rather be with you (Boy, I'd rather be with you)"
"Beyonce","Dangerously In Love",2003,"Me, Myself &amp; I","All the ladies, if you feel me, help me sing it out Here you go, trippin' Everything is cool between us, Bey I told you that Out on the road wit' my people, just doin' what I gotta do There's nothin' goin' on that shouldn't be goin' on You got to trust me, Ma I can't believe I believed everything we had would last So young and naive of me to think she was from your past Silly of me to dream of one day havin' your kids Love is so blind, it feels right when it's wrong I can't believe I fell for your schemes, I'm smarter than that So dumb and naive to believe that with me you're a changed man Foolish of me to compete when you cheat with loose women It took me some time, but now I moved on Because I realized I've got Me, myself, and I That's all I got in the end That's what I found out And it ain't no need to cry I took a vow that from now on, I'm gon' be my own best friend Me, myself, and I That's all I got in the end That's what I found out And it ain't no need to cry I took a vow that from now on, I'm gon' be my own best friend You're so controlling, you say that you love me but you don't Your family told me one day I would see it on my own Next thing I know, I'm dealing with your three kids in my home Love is so blind, it feels right when it's wrong Now that it's over, stop callin' me Come pick up your clothes Ain't no need to front like you're still with me All your homies know Even your very best friend tried to warn me on the low It took me some time, but now I am strong Because I realized I've got Me, myself, and I That's all I got in the end That's what I found out And it ain't no need to cry I took a vow that from now on, I'm gon' be my own best friend Me, myself, and I That's all I got in the end That's what I found out And it ain't no need to cry I took a vow that from now on, I'm gon' be my own best friend I know that I will never disappoint myself All the ladies, if you feel me, help me sing it out Yeah, you hurt me, but I learned a lot along the way After all the rain, you'll see the sun come out again Hey, I know that I will never disappoint myself I've cried All the ladies, if you feel me, help me sing it out Yeah-yeah, you hurt me, but I learned a lot along the way After all the rain, you'll see the sun come out again Yeah-eah, hee Oh-oh, oh-oh Oh-oh, oh-oh Oh-oh, oh-oh Oh-oh, oh-oh Oh-oh, oh-oh Oh-oh, oh-oh Oh-oh, oh-oh Whoa-oh, whoa-oh-ha Yeah, yeah Me, myself, and I I have cried so many times I can't regret time spent with you After all the rain, you'll see the sun come out again Oh! I know that I will never disappoint myself If you've cried a thousand times Ladies, you will survive! Yeah, you hurt me, but I learned a lot along the way I can see the sun shine I got me, myself, and I"
"Beyonce","Dangerously In Love",2003,"Yes","I said yes to your number And yes to you dating me Yes, we can be together But you gotta wait for me The first time I say no It's like I never said yes (It's like I never said yes) I said yes, we can be together Yes, you can stay with me But when I say no, not tonight You actin' so ungratefully The first time I say no It's like I never said yes (It's like I never said yes) You was on the wall I was with my crew You was watchin' me, baby I was watchin' you Slowly you walked over I maintained my cool You said hello to me I said hello to you You asked me where I'm from I asked you what you do You somehow intrigued me I thought you were so cool Somewhere between hi and goodbye, I felt so comfortable I felt like we could talk all night, so I gave my number to you I said yes to your number And yes to you dating me Yes, we can be together But you gotta wait for me The first time I say no It's like I never said yes (It's like I never said yes) I said yes, we can be together Yes, you can stay with me But when I say no, not tonight You actin' so ungratefully The first time I say no It's like I never said yes (It's like I never said yes) Certainly, you can call me, baby I love to hear from you Yes, of course, you can come and see me, boy Wanna get to know you more Sure, I'm feelin' you No, baby, not yet, we can't take that next step Why you getting so upset? Boy, you act as though I never told you yes before You are so ungrateful, mm-mm-mmm You was at my house I was sittin' on my couch You was really buggin', so I Told you to get out I had been misjudging you You had a lotta nerve You too damn old to be so immature I hope you learn You said I move too slow I showed you to the door You said you'd call me later I said don't call no more It is cool if you can't wait for me I'm glad you let me know 'Cause you showed me your true face, baby The first time I said no I said yes to your number And yes to you dating me Yes, we can be together But you gotta wait for me The first time I say no It's like I never said yes (It's like I never said yes) I said yes, we can be together Yes, you can stay with me But when I say no, not tonight You actin' so ungratefully The first time I say no It's like I never said yes (It's like I never said yes) I said yes to your number And yes to you dating me Yes, we can be together But you gotta wait for me The first time I say no It's like I never said yes (It's like I never said yes)"
"Beyonce","Dangerously In Love",2003,"Signs","In December, every sign has its own mode I was in love with a Sagittarius See the emotions he put me through From Capricorns to Aquarius They all got their different minds The affection of a Virgo Which sign matches good with mine? I was in love with a Sagittarius, he blew my mind He also had a flip side too much like a Gemini He was freaky like a Taurus, the way he handled me, yeah Flirtatious like an Aries Which sign is best for me? Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Leo, Virgo, Libra, Scorpio, Sagittarius I love all y'all Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Leo, Virgo, Libra, Scorpio, Sagittarius I love all y'all Hey, I wish he was a Virgo, the same sign as me And know how to show me love, 'cause I've been hurt by a Pisces I wish he was a Virgo, the same sign as me And know how to show me love, 'cause I've been hurt by a Pisces I want him sexy like a Scorpio The way he holds me close, yeah Sensitive as a Cancer Every sign from coast to coast Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Leo, Virgo, Libra, Scorpio, Sagittarius I love all y'all Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Leo, Virgo, Libra, Scorpio, Sagittarius I love all y'all I can't explain why I love him Bossy like Leo's do Got game like an Aquarius Switch moves after he's been with you Fun like a Libra He stays on my mind He's so unpredictable He reminds me of every sign Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Leo, Virgo, Libra, Scorpio, Sagittarius I love all y'all Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Leo, Virgo, Libra, Scorpio, Sagittarius I love all y'all Every sign from the first to the last (Oh) Everyday of the month has its good and its bad I love you all, all twelve signs Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Capricorn, Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, oh Every one of these signs, you know you blowing me away No matter when you're born for sure with me you okay I love every one of y'all no matter what sign you are January to December, here's my open arms I was in love with a Sagittarius I was in love with a Sagittarius I was in love with a Sagittarius I was in love with a Sagittarius"
"Beyonce","Dangerously In Love",2003,"Speechless","You've got me (You've got me) You've got me (You've got me) You've got me (You've got me) You've got me speechless Where you been, baby? Waited for you all day Waited for you to use the key That opens my place My heart starts trembling As I hear your footsteps pace Lock opened, doorknob turned There appears your face Going outta my head, I think I'm losing all my mind Drive me crazy, burning candles, making love all night Feels so strange, it feels so crazy to be in your world In your arms lost for words You've got me You've got me (You've got me) You've got me (You've got me) Oh You've got me (You've got me) You've got me speechless Laying so closely I feel your skin rubbing and touching me Only sweat between us Feeling you kissing and pleasing me I rub your back I kiss your neck I know that you love when we touch like that I can feel you need me Feels so good to me Feels so good to me Going outta my head, I think I'm losing all my mind Drive me crazy, burning candles, making love all night Feels so strange, it feels so crazy to be in your world In your arms lost for words You've got me (You've got me) You've got me (You've got me) You've got me (You've got me) You've got me (You've got me) You've got me speechless Yes, yes, yes Yes, yes, yes Speechless, all I can say is Yes, yes, yes All I can say is Yes, yes, yes, yes Kiss me Hold me You've got me Speechless"
"Beyonce","Dangerously In Love",2003,"That's How You Like It","That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby I need a thug that'll have my back Do-rag, Nike Airs to match Ain't nothin' wrong with that Where my thugs at? White T-shirt, I love that Timberland boots, you does that, it's a fact I like the way you walk The way you talk The way you dress The way you smile I like the way you are The way you ain't I like your honesty, integrity It levels me, so please don't ever change That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby I like the way you brush your hair I like the stylish clothes you wear It's just the real things you do That's why I wanna stick with you Where my girls at? Let them know we love that Sexy way they does that (You did that) I hope you like my style The way I dress The way I flirt Say yes I hope you like my mind The things I say If I'm with you, then I'm with only you My loyalty will never, ever change That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby I know you heard I'm a gangster They say, Stay away from them gangsters. They never change up, or pull they pants up Well, baby girl, put ya foot down Don't let 'em push you around, you know what you like Baby thug, you know wrong from right And you done felt wrong before This can't be what it feel like And they don't really know what you feel like For instance They don't know the difference between real life And the music videos and the raggedy magazines They have it badder than he seems All they see is my baggy jeans, my attitude I ain't mad at you, it's just my glide Way I wear my hat to the side Way I lean real low when I ride That's why in my mind They like my walk My accent from New York My way of thinking is slightly off They like the way he floss Leave the block on a bike, he come back in a Porsche But of course Most of all, they like my honesty, integrity, my loyalty Young Hova and the letter B How you like that, huh? That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby That's how you like it, huh That's how you like it, huh That's how you like it, huh That's how I like it, baby"
